Event	ID	Name			Wwise Object Path	Notes
	278617630	Play_Ambience			\Default Work Unit\Play_Ambience	
	479606568	Play_ButtonHover			\Default Work Unit\Play_ButtonHover	
	860775431	Play_ButtonBack			\Default Work Unit\Play_ButtonBack	
	1068092414	Player_Hurt			\Default Work Unit\Player_Hurt	
	1205999388	Enemy_Death			\Default Work Unit\Enemy_Death	
	1305133589	Player_Jump			\Default Work Unit\Player_Jump	
	1324413170	TestMusic			\Default Work Unit\TestMusic	
	1526102535	Enemy_Spawn			\Default Work Unit\Enemy_Spawn	
	2453392179	Player_Footstep			\Default Work Unit\Player_Footstep	
	2477713992	Stop_Ambience			\Default Work Unit\Stop_Ambience	
	2574533045	Play_CrossbowReload			\Default Work Unit\Play_CrossbowReload	
	2971505500	Play_AirplaneLauncher			\Default Work Unit\Play_AirplaneLauncher	
	3083087645	Player_Death			\Default Work Unit\Player_Death	
	3092211194	Explosion_Laser			\Default Work Unit\Explosion_Laser	
	3159718618	Play_ButtonSelect			\Default Work Unit\Play_ButtonSelect	
	3991482221	Stop_TestMusic			\Default Work Unit\Stop_TestMusic	
	4285763406	Play_Crossbow			\Default Work Unit\Play_Crossbow	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	121146813	ButtonBack	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\ButtonBack_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UISFX\ButtonBack		2998864
	172320610	ThunderClap	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\ThunderClap_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\TestSounds\Explosion Sound\Lasers\ThunderClap		1545328
	181233759	footstep_4	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Footsteps, Dirt, Walking SND17386 4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerMovement\PlayerFootstep\footstep_4		70540
	237714643	enemy_spawn	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\enemy_spawn_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\EnemySpawn\paper_sounds\enemy_spawn		489252
	256810444	Laser1	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Laser1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\TestSounds\Explosion Sound\Lasers\Laser1		590224
	288782756	hurt_2	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Cartoon, Voice, High Pitched, Says Ouch 3 SND15458 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerHurt\hurt_2		78548
	293984751	footstep_2	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Footsteps, Dirt, Walking SND17386 5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerMovement\PlayerFootstep\footstep_2		43436
	304532532	hurt_1	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\Cartoon, Voice, High Pitched, Says Ouch 3 SND15458 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerHurt\hurt_1		79584
	482488142	ButtonSelect	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\ButtonSelect_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UISFX\ButtonSelect		55744
	492977736	crossbow_fire_3	D:\DigiPen\F20\MUS370L\SkeletonProject\.cache\Windows\SFX\crossbow_fire_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerAttacks\Crossbow\crossbow_fire_3		271612
